"KEY","en","notes","sp","fr","de","it","pt-br"
"QUEST_BEGIN_PUTRIDLEECH","「腐爛水蛭」已找到並加入任務道具！","","¡Has encontrado la sanguijuela putrefacta y se ha añadido a los objetos de misión!","«&nbsp;Sangsue putride&nbsp;» trouvée et ajoutée aux objets de quête !","„Verfaulter Blutegel“ gefunden und den Questgegenständen hinzugefügt!","Hai trovato la ""Sanguisuga Putrida"" e l'hai aggiunta agli oggetti della missione!","A ""sanguessuga pútrida"" foi encontrada e adicionada aos seus itens de missão!"
"QUEST_BEGIN_GUILLOTINASHEAD","「Guillotina 的頭」已找到並加入任務道具！","","¡Has encontrado la cabeza de Guillotina y se ha añadido a los objetos de misión!","«&nbsp;Tête de Guillotina&nbsp;» trouvée et ajoutée aux objets de quête !","„Guillotinas Kopf“ gefunden und den Questgegenständen hinzugefügt!","Hai trovato la ""Testa di Ghigliottina"" e l'hai aggiunta agli oggetti della missione!","A ""cabeça de Guilhotina"" foi encontrada e adicionada aos seus itens de missão!"
"","","","","","","",""
"QUEST_BEGIN_SCALDINGORB","「灼熱寶珠」已找到並加入任務道具！","","¡Has encontrado el orbe abrasador y se ha añadido a los objetos de misión!","«&nbsp;Orbe brûlant&nbsp;» trouvé et ajouté aux objets de quête !","„Siedende Kugel“ gefunden und den Questgegenständen hinzugefügt!","Hai trovato la ""Sfera Rovente"" e l'hai aggiunta agli oggetti della missione!","O ""orbe escaldante"" foi encontrado e adicionado aos seus itens de missão!"
"QUEST_BEGIN_BLACKSHARD","「黑色碎片」已找到並加入任務道具！","","¡Has encontrado el fragmento negro y se ha añadido a los objetos de misión!","«&nbsp;Sombréclat&nbsp;» trouvé et ajouté aux objets de quête !","„Schwarzer Splitter“ gefunden und den Questgegenständen hinzugefügt!","Hai trovato il ""Frammento Nero"" e l'hai aggiunta agli oggetti della missione!","O ""fragmento negro"" foi encontrado e adicionado aos seus itens de missão!"
"QUEST_BEGIN_PYROPHINASCOLLAR","普羅菲娜 感謝你協助她擊敗 扎拉塔娜！
「普羅菲娜 的項圈」已加入任務道具！","","Pyrophina te da las gracias por haberla ayudado a derrotar a Zaratana.
¡Se ha añadido el collar de Pyrophina a los objetos de misión!","Pyrophina vous remercie de l'avoir aidée à vaincre Zaratana ! «&nbsp;Collier de Pyrophina&nbsp;» ajouté aux objets de quête !","Pyrophina dankt dir dafür, dass du ihr geholfen hast, Zaratana zu besiegen!
„Pyrophinas Halsband“ wurde den Questgegenständen hinzugefügt!","Pyrophina ti ringrazia per averla aiutata a sconfiggere Zaratana!
Hai aggiunto il ""Collare di Pyrophina"" agli oggetti della missione!","Pyrophina agradece por você tê-la ajudado a derrotar Zaratana!
A ""coleira de Pyrophina"" foi adicionada aos itens de missão!"
"QUEST_BEGIN_ZARATANASCOLLAR","扎拉塔娜 感謝你協助她擊敗 普羅菲娜！
「扎拉塔娜 的項圈」已加入任務道具！","","Zaratana te da las gracias por haberla ayudado a derrotar a Pyrophina.
¡Se ha añadido el collar de Zaratana a los objetos de misión!","Zaratana vous remercie de l'avoir aidée à vaincre Pyrophina ! «&nbsp;Collier de Zaratana&nbsp;» ajouté aux objets de quête !","Zaratana dankt dir dafür, dass du ihr geholfen hast, Pyrophina zu besiegen!
„Zaratanas Halsband“ wurde den Questgegenständen hinzugefügt!","Zaratana ti ringrazia per averla aiutata a sconfiggere Pyrophina!
Hai aggiunto il ""Collare di Zaratana"" agli oggetti della missione!","Zaratana agradece por você tê-la ajudado a derrotar Pyrophina!
A ""coleira de Zaratana"" foi adicionada aos itens de missão!"
"","","","","","","",""
"QUEST_BEGIN_COOLER","「低溫時間艙」已加入任務道具！","","¡Se ha añadido la cámara temporal criogénica a los objetos de misión!","«&nbsp;Cryocapsule temporelle&nbsp;» trouvée et ajoutée aux objets de quête !","„Kryogene Zeitkammer“ wurde den Questgegenständen hinzugefügt!","Hai aggiunto la ""Camera del Tempo Criogenica"" agli oggetti della missione!","A ""câmara criogênica de tempo"" foi adicionada aos itens de missão!"
"","","","","","","",""
"QUEST_BEGIN_RECEIVER","「接收天線」已找到並加入任務道具！","","¡Has encontrado la antena receptora y se ha añadido a los objetos de misión!","«&nbsp;Antenne réceptrice&nbsp;» trouvée et ajoutée aux objets de quête !","„Empfängerantenne“ gefunden und den Questgegenständen hinzugefügt!","Hai trovato l'oggetto ""Antenna Ricevitrice"" e l'hai aggiunta agli oggetti della missione!","A ""antena receptora"" foi encontrada e adicionada aos itens de missão!"
"QUEST_BEGIN_TRANSMITTER","「發射天線」已找到並加入任務道具！","","¡Has encontrado la antena transmisora y se ha añadido a los objetos de misión!","«&nbsp;Antenne émettrice&nbsp;» trouvée et ajoutée aux objets de quête !","„Sendeantenne“ gefunden und den Questgegenständen hinzugefügt!","Hai trovato l'oggetto ""Antenna Trasmittente"" e l'hai aggiunta agli oggetti della missione!","A ""antena transmissora"" foi encontrada e adicionada aos itens de missão!"
"QUEST_BEGIN_AMPLIFIER","「訊號放大器」已找到並加入任務道具！","","¡Has encontrado el amplificador de señal y se ha añadido a los objetos de misión!","«&nbsp;Amplificateur de signal&nbsp;» trouvé et ajouté aux objets de quête !","„Signalverstärker“ gefunden und den Questgegenständen hinzugefügt!","Hai trovato l'oggetto ""Amplificatore di Segnale"" e l'hai aggiunto agli oggetti della missione!","O ""amplificador de sinal"" foi encontrado e adicionado aos itens de missão!"
"","","","","","","",""
"QUEST_BEGIN_JAR","「輻射罐!」已加入任務道具！","","¡Se ha añadido el tarro de radiación a los objetos de misión!","«&nbsp;Bocal irradié&nbsp;» trouvé et ajouté aux objets de quête !","„Verstrahltes Glas!“ wurde den Questgegenständen hinzugefügt!","Hai aggiunto il ""Barattolo delle Radiazioni"" agli oggetti della missione!","O ""pote de radiação"" foi adicionado aos itens de missão!"
"QUEST_BEGIN_NUKE","「核彈」已加入任務道具！","","¡Se ha añadido el arma nuclear a los objetos de misión!","«&nbsp;Ogive&nbsp;» trouvée et ajoutée aux objets de quête !","„Atombombe“ wurde den Questgegenständen hinzugefügt!","Hai aggiunto la ""Bomba Atomica"" agli oggetti della missione!","A ""bomba nuclear"" foi adicionada aos itens de missão!"
"","","","","","","",""
"ABILITY_UNLOCK_FIGHTER","鬥士現在可以學習「Pawbreaker」！","","¡Ahora los luchadores pueden aprender Rompepatas!","Les Pugilistes peuvent désormais apprendre «&nbsp;Briseur de patte&nbsp;» !","Krieger können jetzt „Pfotenbrecher“ lernen!","Ora i guerrieri possono imparare ""Spezzazampa""!","Agora lutadores podem aprender ""Quebra-Patas""!"
"ABILITY_UNLOCK_HUNTER","獵人現在可以學習「蜘蛛球」！","","¡Ahora los cazadores pueden aprender Bola de arañas!","Les Sentinelles peuvent désormais apprendre «&nbsp;Boule d'araignées&nbsp;» !","Jäger können jetzt „Spinnenball“ lernen!","Ora i cacciatori possono imparare ""Palla di Ragni""!","Agora caçadores podem aprender ""Bola de Aranhas""!"
"ABILITY_UNLOCK_MAGE","法師現在可以學習「超級光束」！","","¡Ahora los magos pueden aprender Hiperrayo!","Les Mages peuvent désormais apprendre «&nbsp;Méga rayon&nbsp;» !","Magier können jetzt „Hyperstrahl“ lernen!","Ora i maghi possono imparare ""Iper-Raggio""!","Agora magos podem aprender ""Hiper Raio""!"
"ABILITY_UNLOCK_MEDIC","醫師現在可以學習「靈化」！","","¡Ahora los clérigos pueden aprender Etéreo!","Les Sages peuvent désormais apprendre «&nbsp;Céleste&nbsp;» !","Kleriker können jetzt „Ätherisch“ lernen!","Ora i chierici possono imparare ""Etereo""!","Agora clérigos podem aprender ""Etéreo""!"
"ABILITY_UNLOCK_THIEF","盜賊現在可以學習「釘雨」！","","¡Ahora los ladrones pueden aprender Lluvia de clavos!","Les Montes-en-l'air peuvent désormais apprendre «&nbsp;Pluie de clous&nbsp;» !","Diebe können jetzt „Nagelfurie“ lernen!","Ora i ladri possono imparare ""Raffica di Chiodi""!","Agora ladrões podem aprender ""Salva de Pregos""!"
"ABILITY_UNLOCK_TANK","坦克現在可以學習「背摔」！","","¡Ahora los tanques pueden aprender Súplex!","Les Tanks peuvent désormais apprendre «&nbsp;Suplex&nbsp;» !","Tanks können jetzt „Suplex“ lernen!","Ora i corazzati possono imparare ""Suplex""!","Agora tanques podem aprender ""Suplex""!"
"ABILITY_UNLOCK_NECROMANCER","死靈法師現在可以學習「召喚暗影」！","","¡Ahora los nigromantes pueden aprender Invocación de sombra!","Les Occultistes peuvent désormais apprendre «&nbsp;Invocation d'ombres&nbsp;» !","Totenbeschwörer können jetzt „Schatten beschwören“ lernen!","Ora i necromanti possono imparare ""Evoca Ombra""!","Agora necromantes podem aprender ""Invocar Sombra""!"
"ABILITY_UNLOCK_PSYCHIC","念能者現在可以學習「超新星」！","","¡Ahora los ocultistas pueden aprender Supernova!","Les Médiums peuvent désormais apprendre «&nbsp;Supernova&nbsp;» !","Medien können jetzt „Supernova“ lernen!","Ora gli psionici possono imparare ""Supernova""!","Agora psíquicos podem aprender ""Supernova""!"
"ABILITY_UNLOCK_TINKERER","工匠現在可以學習「機甲套裝」！","","¡Ahora los manitas pueden aprender Traje robótico!","Les Scientifiques peuvent désormais apprendre «&nbsp;Costume mécha&nbsp;» !","Bastler können jetzt „Mechanzug“ lernen!","Ora gli inventori possono imparare ""Tuta per Mech""!","Agora artífices podem aprender ""Traje Mecha""!"
"ABILITY_UNLOCK_BUTCHER","屠夫現在可以學習「切切切」！","","¡Ahora los carniceros pueden aprender Cortar y trocear!","Les Barbares peuvent désormais apprendre «&nbsp;Julienne&nbsp;» !","Schlachter können jetzt „Zurechtstutzen“ lernen!","Ora i macellai possono imparare ""Affettamento""!","Agora açougueiros podem aprender ""Fatiar e Picar""!"
"ABILITY_UNLOCK_DRUID","德魯伊現在可以學習「召喚熊」！","","¡Ahora los druidas pueden aprender Invocación de oso!","Les Druides peuvent désormais apprendre «&nbsp;Invocation d'ours&nbsp;» !","Druiden können jetzt „Bär beschwören“ lernen!","Ora i druidi possono imparare ""Evoca Orso""!","Agora druidas podem aprender ""Invocar Urso""!"
"ABILITY_UNLOCK_MONK","武僧現在可以學習「百裂掌」！","","¡Ahora los monjes pueden aprender Golpe de cien manos!","Les Moines peuvent désormais apprendre «&nbsp;Gifle de cent mains&nbsp;» !","Mönche können jetzt „Hundert Hände“ lernen!","Ora i monaci possono imparare ""Schiaffo delle Cento Mani!""","Agora monges podem aprender ""Tapa de Cem Mãos""!"
"ABILITY_UNLOCK_COLORLESS","所有貓咪現在都可以學習「節拍器」！","","¡Ahora todos los gatos pueden aprender Metrónomo!","Tous les chats peuvent désormais apprendre «&nbsp;Métronome&nbsp;» !","Alle Katzen können jetzt „Metronom“ lernen!","Ora tutti i gatti possono imparare ""Metronomo""!","Agora todos os gatos podem aprender ""Metrônomo""!"
"ABILITY_UNLOCK_JESTER","小丑又學會了更多花招！","","¡Los bufones tienen algunos ases más en la manga!","Les Jokers ont encore plus de tours dans leur sac !","Narren haben jetzt neue Kunststücke im Repertoire!","I giullari hanno qualche altro asso nella manica!","Agora curingas possuem mais truques na manga!"
"","","","","","","",""
"PASSIVE_UNLOCK_FIGHTER","鬥士現在可以學習「雙持」！","","¡Ahora los luchadores pueden aprender Multiarma!","Les Pugilistes peuvent désormais apprendre «&nbsp;Coup double&nbsp;» !","Krieger können jetzt „Doppelwaffen“ lernen!","Ora i guerrieri possono imparare ""Doppia Impugnatura""!","Agora lutadores podem aprender ""Empunhadura Dupla""!"
"PASSIVE_UNLOCK_HUNTER","獵人現在可以學習「狩獵快感」！","","¡Ahora los cazadores pueden aprender Exaltación de la caza!","Les Sentinelles peuvent désormais apprendre «&nbsp;Frisson de la chasse&nbsp;» !","Jäger können jetzt „Jagdrausch“ lernen!","Ora i cacciatori possono imparare ""Brivido della Caccia""!","Agora caçadores podem aprender ""Emoção da Caçada""!"
"PASSIVE_UNLOCK_MAGE","法師現在可以學習「三重」！","","¡Ahora los magos pueden aprender Tres!","Les Mages peuvent désormais apprendre «&nbsp;Trois&nbsp;» !","Magier können jetzt „Drei“ lernen!","Ora i maghi possono imparare ""Tre""!","Agora magos podem aprender ""Três""!"
"PASSIVE_UNLOCK_MEDIC","醫師現在可以學習「邪惡庇護」！","","¡Ahora los clérigos pueden aprender Patrón malvado!","Les Sages peuvent désormais apprendre «&nbsp;Divinité maléfique&nbsp;» !","Kleriker können jetzt „Bösartiger Schutzpatron“ lernen!","Ora i chierici possono imparare ""Mecenate Crudele""!","Agora clérigos podem aprender ""Patrono Maligno""!"
"PASSIVE_UNLOCK_THIEF","盜賊現在可以學習「先手打擊」！","","¡Ahora los ladrones pueden aprender Primer ataque!","Les Montes-en-l'air peuvent désormais apprendre «&nbsp;Premier assaut&nbsp;» !","Diebe können jetzt „Erstschlag“ lernen!","Ora i ladri possono imparare ""Primo Colpo""!","Agora ladrões podem aprender ""Ataque Alfa""!"
"PASSIVE_UNLOCK_TANK","坦克現在可以學習「保全」！","","¡Ahora los tanques pueden aprender Guardia!","Les Tanks peuvent désormais apprendre «&nbsp;Garde du corps&nbsp;» !","Tanks können jetzt „Türsteher“ lernen!","Ora i corazzati possono imparare ""Rimbalzo""!","Agora tanques podem aprender ""Segurança""!"
"PASSIVE_UNLOCK_NECROMANCER","死靈法師現在可以學習「死亡使徒」！","","¡Ahora los nigromantes pueden aprender Servus mortem!","Les Occultistes peuvent désormais apprendre «&nbsp;Servus Mortem&nbsp;» !","Totenbeschwörer können jetzt „Servus Mortem“ lernen!","Ora i necromanti possono imparare ""Servus Mortem""!","Agora necromantes podem aprender ""Servus Mortem""!"
"PASSIVE_UNLOCK_PSYCHIC","念能者現在可以學習「重力井」！","","¡Ahora los ocultistas pueden aprender Influencia gravitatoria!","Les Médiums peuvent désormais apprendre «&nbsp;Puits de gravité&nbsp;» !","Medien können jetzt „Gravitationsbrunnen“ lernen!","Ora gli psionici possono imparare ""Pozzo Gravitazionale""!","Agora psíquicos podem aprender ""Poço de Gravidade""!"
"PASSIVE_UNLOCK_TINKERER","工匠現在可以學習「護甲專家」！","","¡Ahora los manitas pueden aprender Especialista en armaduras!","Les Scientifiques peuvent désormais apprendre «&nbsp;Spécialiste des armures&nbsp;» !","Bastler können jetzt „Rüstungsspezialist“ lernen!","Ora gli inventori possono imparare ""Specialista delle Armature""!","Agora artífices podem aprender ""Especialista em Armaduras""!"
"PASSIVE_UNLOCK_BUTCHER","屠夫現在可以學習「消化不良」！","","¡Ahora los carniceros pueden aprender Indigestión!","Les Barbares peuvent désormais apprendre «&nbsp;Indigestion&nbsp;» !","Schlachter können jetzt „Magenverstimmung“ lernen!","Ora i macellai possono imparare ""Indigestione""!","Agora açougueiros podem aprender ""Indigestão""!"
"PASSIVE_UNLOCK_DRUID","德魯伊現在可以學習「自爆小隊」！","","¡Ahora los druidas pueden aprender Escuadrón suicida!","Les Druides peuvent désormais apprendre «&nbsp;Suicide Squad&nbsp;» !","Druiden können jetzt „Selbstmordkommando“ lernen!","Ora i druidi possono imparare ""Squadra Suicida""!","Agora druidas podem aprender ""Esquadrão Suicida""!"
"PASSIVE_UNLOCK_MONK","武僧現在可以學習「Unstoppable」！","","¡Ahora los monjes pueden aprender Imparable!","Les Moines peuvent désormais apprendre «&nbsp;Inarrêtable&nbsp;» !","Mönche können jetzt „Unaufhaltsam“ lernen!","Ora i monaci possono imparare ""Inarrestabile""!","Agora monges podem aprender ""Imparável""!"
"PASSIVE_UNLOCK_COLORLESS","所有貓咪現在都可以學習「技能共享」！","","¡Ahora todos los gatos pueden aprender Habilidad compartida!","Tous les chats peuvent désormais apprendre «&nbsp;Partage de compétences&nbsp;» !","Alle Katzen können jetzt „Fähigkeiten teilen“ lernen!","Ora tuti i gatti possono imparare ""Condivisione delle Abilità""!","Agora todos os gatos podem aprender ""Compartilhar Habilidade""!"
"PASSIVE_UNLOCK_JESTER","小丑又學會了更多花招！","","¡Los bufones tienen algunos ases más en la manga!","Les Jokers ont encore plus de tours dans leur sac !","Narren haben jetzt neue Kunststücke im Repertoire!","I giullari hanno qualche altro asso nella manica!","Agora curingas possuem mais truques na manga!"
"","","","","","","",""
"ABILITY_UNLOCK_FIGHTER_COLORLESS","所有貓咪現在都可以學習「鬥士之路」！","","¡Ahora todos los gatos pueden aprender Camino del luchador!","Tous les chats peuvent désormais apprendre «&nbsp;Voie des Pugilistes&nbsp;» !","Alle Katzen können jetzt „Der Weg des Kriegers“ lernen!","Ora tutti i gatti possono imparare ""Percorso del Guerriero""!","Agora todos os gatos podem aprender o ""Caminho do Lutador""!"
"ABILITY_UNLOCK_HUNTER_COLORLESS","所有貓咪現在都可以學習「獵人之路」！","","¡Ahora todos los gatos pueden aprender Camino del cazador!","Tous les chats peuvent désormais apprendre «&nbsp;Voies des Sentinelles&nbsp;» !","Alle Katzen können jetzt „Der Weg des Jägers“ lernen!","Ora tutti i gatti possono imparare ""Percorso del Cacciatore""!","Agora todos os gatos podem aprender o ""Caminho do Caçador""!"
"ABILITY_UNLOCK_MAGE_COLORLESS","所有貓咪現在都可以學習「法師之路」！","","¡Ahora todos los gatos pueden aprender Camino del mago!","Tous les chats peuvent désormais apprendre «&nbsp;Voie des Mages&nbsp;» !","Alle Katzen können jetzt „Der Weg des Magiers“ lernen!","Ora tutti i gatti possono imparare ""Percorso del Mago""!","Agora todos os gatos podem aprender o ""Caminho do Mago""!"
"ABILITY_UNLOCK_MEDIC_COLORLESS","所有貓咪現在都可以學習「醫師之路」！","","¡Ahora todos los gatos pueden aprender Camino del clérigo!","Tous les chats peuvent désormais apprendre «&nbsp;Voie des Sages&nbsp;» !","Alle Katzen können jetzt „Der Weg des Klerikers“ lernen!","Ora tutti i gatti possono imparare ""Percorso del Chierico""!","Agora todos os gatos podem aprender o ""Caminho do Clérigo""!"
"ABILITY_UNLOCK_THIEF_COLORLESS","所有貓咪現在都可以學習「盜賊之路」！","","¡Ahora todos los gatos pueden aprender Camino del ladrón!","Tous les chats peuvent désormais apprendre «&nbsp;Voie des Fourbes&nbsp;» !","Alle Katzen können jetzt „Der Weg des Diebes“ lernen!","Ora tutti i gatti possono imparare ""Percorso del Ladro""!","Agora todos os gatos podem aprender o ""Caminho do Ladrão""!"
"ABILITY_UNLOCK_TANK_COLORLESS","所有貓咪現在都可以學習「坦克之路」！","","¡Ahora todos los gatos pueden aprender Camino del tanque!","Tous les chats peuvent désormais apprendre «&nbsp;Voie des Tanks&nbsp;» !","Alle Katzen können jetzt „Der Weg des Tanks“ lernen!","Ora tutti i gatti possono imparare ""Percorso del Corazzato""!","Agora todos os gatos podem aprender o ""Caminho do Tanque""!"
"ABILITY_UNLOCK_NECROMANCER_COLORLESS","所有貓咪現在都可以學習「死靈法師之路」！","","¡Ahora todos los gatos pueden aprender Camino del nigromante!","Tous les chats peuvent désormais apprendre «&nbsp;Voie des Occultistes&nbsp;» !","Alle Katzen können jetzt „Der Weg des Totenbeschwörers“ lernen!","Ora tutti i gatti possono imparare ""Percorso del Necromante""!","Agora todos os gatos podem aprender o ""Caminho do Necromante""!"
