"KEY","en","notes","sp","fr","de","it","pt-br"
"FURNITURE_NAME_SET_SPIDER_CANDELABRA","蜘蛛 燭台","","Candelabro arácnido","Candélabre araignée","Spinnenkronleuchter","Candelabro aracnide","Candelabro de aranha"
"FURNITURE_DESC_SET_SPIDER_CANDELABRA","","","","","","",""
"FURNITURE_NAME_SET_SPIDER_VANITY","蜘蛛 梳妝台","","Tocador arácnido","Coiffeuse araignée","Spinnenfrisiertisch","Toeletta aracnide","Penteadeira de aranha"
"FURNITURE_DESC_SET_SPIDER_VANITY","","","","","","",""
"FURNITURE_NAME_SET_SPIDER_CHAIR","蜘蛛 椅","","Silla arácnida","Chaise araignée","Spinnenstuhl","Sedia aracnide","Cadeira de aranha"
"FURNITURE_DESC_SET_SPIDER_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_SPIDER_TABLE","蜘蛛 桌","","Mesa arácnida","Table araignée","Spinnentisch","Tavolo aracnide","Mesa de aranha"
"FURNITURE_DESC_SET_SPIDER_TABLE","","","","","","",""
"FURNITURE_NAME_SET_SPIDER_DRESSER","蜘蛛 衣櫃","","Aparador arácnido","Commode araignée","Spinnenkleiderschrank","Comò aracnide","Cômoda de aranha"
"FURNITURE_DESC_SET_SPIDER_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_SPIDER_TV","蜘蛛 電視","","Tele arácnida","TV araignée","Spinnenfernseher","TV aracnide","TV de aranha"
"FURNITURE_DESC_SET_SPIDER_TV","","","","","","",""
"FURNITURE_NAME_SET_SPIDER_TOILET","蜘蛛 馬桶","","Retrete arácnido","Toilettes araignée","Spinnentoilette","WC aracnide","Privada de aranha"
"FURNITURE_DESC_SET_SPIDER_TOILET","","","","","","",""
"FURNITURE_NAME_SET_SPIDER_SHELF","蜘蛛 層架","","Estante arácnido","Étagère araignée","Spinnenregal","Mensola aracnide","Estante de aranha"
"FURNITURE_DESC_SET_SPIDER_SHELF","","","","","","",""
"FURNITURE_NAME_SET_SPIDER_BED","蜘蛛 床","","Cama arácnida","Lit araignée","Spinnenbett","Letto aracnide","Cama de aranha"
"FURNITURE_DESC_SET_SPIDER_BED","","","","","","",""
"FURNITURE_NAME_SET_SPIDER_SIDETABLE","蜘蛛 邊桌","","Mesilla arácnida","Table d'appoint araignée","Spinnenbeistelltisch","Tavolino aracnide","Mesa lateral de aranha"
"FURNITURE_DESC_SET_SPIDER_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_JUNK_SIDETABLE","廢料 邊桌","","Mesilla de desechos","Table d'appoint au rabais","Müllbeistelltisch","Tavolino di ciarpame","Mesa lateral de lixo"
"FURNITURE_DESC_SET_JUNK_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_JUNK_CHAIR","廢料 椅","","Silla de desechos","Chaise au rabais","Müllstuhl","Sedia di ciarpame","Cadeira de lixo"
"FURNITURE_DESC_SET_JUNK_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_JUNK_SHELF","廢料 層架","","Estante de desechos","Étagère au rabais","Müllregal","Scaffale di ciarpame","Estante de lixo"
"FURNITURE_DESC_SET_JUNK_SHELF","","","","","","",""
"FURNITURE_NAME_SET_JUNK_BED","廢料 床","","Cama de desechos","Lit au rabais","Müllbett","Letto di ciarpame","Cama de lixo"
"FURNITURE_DESC_SET_JUNK_BED","","","","","","",""
"FURNITURE_NAME_SET_JUNK_CABINET","廢料 櫃","","Vitrina de desechos","Placard au rabais","Müllschrank","Armadietto di ciarpame","Armário de lixo"
"FURNITURE_DESC_SET_JUNK_CABINET","","","","","","",""
"FURNITURE_NAME_SET_JUNK_TV","廢料 電視","","Tele de desechos","TV au rabais","Müllfernseher","TV di ciarpame","TV de lixo"
"FURNITURE_DESC_SET_JUNK_TV","","","","","","",""
"FURNITURE_NAME_SET_JUNK_SUSPENDEDSHELF","懸掛式 廢料 層架","","Estante de desechos colgado","Étagère suspendue au rabais","Müllhängeregal","Mensola sospesa di ciarpame","Prateleira de lixo"
"FURNITURE_DESC_SET_JUNK_SUSPENDEDSHELF","","","","","","",""
"FURNITURE_NAME_SET_JUNK_LAMP","廢料 燈","","Lámpara de desechos","Lampe au rabais","Mülllampe","Lampada di ciarpame","Luminária de lixo"
"FURNITURE_DESC_SET_JUNK_LAMP","","","","","","",""
"FURNITURE_NAME_SET_JUNK_DRESSER","廢料 衣櫃","","Aparador de desechos","Commode au rabais","Müllkleiderschrank","Comò di ciarpame","Cômoda de lixo"
"FURNITURE_DESC_SET_JUNK_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_JUNK_TOILET","廢料 馬桶","","Retrete de desechos","Toilettes au rabais","Mülltoilette","WC di ciarpame","Privada de lixo"
"FURNITURE_DESC_SET_JUNK_TOILET","","","","","","",""
"FURNITURE_NAME_SET_SEWN_DRESSER","縫製 衣櫃","","Aparador remendado","Commode cousue","Stoffkleiderschrank","Comò rammendato","Cômoda costurada"
"FURNITURE_DESC_SET_SEWN_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_SEWN_SIDETABLE","縫製 邊桌","","Mesilla remendada","Table d'appoint cousue","Stoffbeistelltisch","Tavolino rammendato","Mesa lateral costurada"
"FURNITURE_DESC_SET_SEWN_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_SEWN_TABLE","縫製 桌","","Mesa remendada","Table cousue","Stofftisch","Tavolo rammendato","Mesa costurada"
"FURNITURE_DESC_SET_SEWN_TABLE","","","","","","",""
"FURNITURE_NAME_SET_SEWN_COUCH","縫製 沙發","","Sofá remendado","Canapé cousu","Stoffsofa","Divano rammendato","Sofá costurado"
"FURNITURE_DESC_SET_SEWN_COUCH","","","","","","",""
"FURNITURE_NAME_SET_SEWN_CHAIR","縫製 椅","","Silla remendada","Chaise cousue","Stoffstuhl","Sedia rammendata","Cadeira costurada"
"FURNITURE_DESC_SET_SEWN_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_SEWN_STOOL1","縫製 凳 甲","","Taburete remendado A","Tabouret cousu A","Stoffhocker A","Sgabello rammendato A","Banqueta costurada A"
"FURNITURE_DESC_SET_SEWN_STOOL1","","","","","","",""
"FURNITURE_NAME_SET_SEWN_TOILET","縫製 馬桶","","Retrete remendado","Toilettes cousues","Stofftoilette","WC rammendato","Privada costurada"
"FURNITURE_DESC_SET_SEWN_TOILET","","","","","","",""
"FURNITURE_NAME_SET_SEWN_TV","縫製 電視","","Tele remendada","TV cousue","Stofffernseher","TV rammendata","TV costurada"
"FURNITURE_DESC_SET_SEWN_TV","","","","","","",""
"FURNITURE_NAME_SET_SEWN_DOLL","縫製 娃娃","","Muñeca remendada","Poupée cousue","Stoffpuppe","Bambolotto rammendato","Boneca costurada"
"FURNITURE_DESC_SET_SEWN_DOLL","","","","","","",""
"FURNITURE_NAME_SET_SEWN_STOOL2","縫製 凳 乙","","Taburete remendado B","Tabouret cousu B","Stoffhocker B","Sgabello rammendato B","Banqueta costurada B"
"FURNITURE_DESC_SET_SEWN_STOOL2","","","","","","",""
"FURNITURE_NAME_SET_CAT_SHELF","貓 層架","","Estante gatuno","Étagère chat","Katzenregal","Scaffale a forma di gatto","Estante de gato"
"FURNITURE_DESC_SET_CAT_SHELF","","","","","","",""
"FURNITURE_NAME_SET_CAT_COUCH","貓 沙發","","Sofá gatuno","Canapé chat","Katzensofa","Divano a forma di gatto","Sofá de gato"
"FURNITURE_DESC_SET_CAT_COUCH","","","","","","",""
"FURNITURE_NAME_SET_CAT_CHAIR","貓 椅","","Silla gatuna","Chaise chat","Katzenstuhl","Sedia a forma di gatto","Cadeira de gato"
"FURNITURE_DESC_SET_CAT_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_CAT_BED","貓 床","","Cama gatuna","Lit chat","Katzenbett","Letto a forma di gatto","Cama de gato"
"FURNITURE_DESC_SET_CAT_BED","","","","","","",""
"FURNITURE_NAME_SET_CAT_TABLE","貓 桌 甲","","Mesa gatuna A","Table&nbsp;chat A","Katzentisch A","Tavolo a forma di gatto A","Mesa de gato A"
"FURNITURE_DESC_SET_CAT_TABLE","","","","","","",""
"FURNITURE_NAME_SET_CAT_TV","貓 電視","","Tele gatuna","TV chat","Katzenfernseher","TV a forma di gatto","TV de gato"
"FURNITURE_DESC_SET_CAT_TV","","","","","","",""
"FURNITURE_NAME_SET_CAT_BENCH","貓 長凳","","Banco gatuno","Banc chat","Katzenbank","Panca a forma di gatto","Banco de gato"
"FURNITURE_DESC_SET_CAT_BENCH","","","","","","",""
"FURNITURE_NAME_SET_CAT_DRESSER","貓 衣櫃","","Aparador gatuno","Commode chat","Katzenkleiderschrank","Comò a forma di gatto","Cômoda de gato"
"FURNITURE_DESC_SET_CAT_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_CAT_SUSPENDED_SHELF","懸掛式 貓 層架","","Estante gatuno colgado","Étagère suspendue chat","Katzenhängeregal","Mensola sospesa a forma di gatto","Prateleira de gato"
"FURNITURE_DESC_SET_CAT_SUSPENDED_SHELF","","","","","","",""
"FURNITURE_NAME_SET_CAT_TABLE2","貓 桌 乙","","Mesa gatuna B","Table&nbsp;B chat","Katzentisch B","Tavolo a forma di gatto B","Mesa de gato B"
"FURNITURE_DESC_SET_CAT_TABLE2","","","","","","",""
"FURNITURE_NAME_SET_WOODEN_SHELF","木製 層架 甲","","Estante de madera A","Étagère en bois A","Holzregal A","Scaffale di legno A","Estante de madeira A"
"FURNITURE_DESC_SET_WOODEN_SHELF","","","","","","",""
"FURNITURE_NAME_SET_WOODEN_DRESSER","木製 衣櫃","","Aparador de madera A","Commode en bois","Holzkleiderschrank","Comò di legno","Cômoda de madeira"
"FURNITURE_DESC_SET_WOODEN_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_WOODEN_CHAIR","木製 椅","","Silla de madera","Chaise en bois","Holzstuhl","Sedia di legno","Cadeira de madeira"
"FURNITURE_DESC_SET_WOODEN_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_WOODEN_TOILET","木製 馬桶","","Retrete de madera","Toilettes en bois","Holztoilette","WC di legno","Privada de madeira"
"FURNITURE_DESC_SET_WOODEN_TOILET","","","","","","",""
"FURNITURE_NAME_SET_WOODEN_TABLE","木製 桌","","Mesa de madera","Table en bois","Holztisch","Tavolo di legno","Mesa de madeira"
"FURNITURE_DESC_SET_WOODEN_TABLE","","","","","","",""
"FURNITURE_NAME_SET_WOODEN_SINK","木製 洗手台","","Lavabo de madera","Évier en bois","Holzwaschbecken","Lavandino di legno","Pia de madeira"
"FURNITURE_DESC_SET_WOODEN_SINK","","","","","","",""
"FURNITURE_NAME_SET_WOODEN_LAMP","木製 燈","","Lámpara de madera","Lampe en bois","Holzlampe","Lampada di legno","Luminária de madeira"
"FURNITURE_DESC_SET_WOODEN_LAMP","","","","","","",""
"FURNITURE_NAME_SET_WOODEN_TV","木製 電視","","Tele de madera","TV en bois","Holzfernseher","TV di legno","TV de madeira"
"FURNITURE_DESC_SET_WOODEN_TV","","","","","","",""
"FURNITURE_NAME_SET_WOODEN_SUSPENDEDSHELF","懸掛式 木製 層架","","Estante de madera colgado","Étagère suspendue en bois","Holzhängeregal","Mensola sospesa di legno","Prateleira de madeira"
"FURNITURE_DESC_SET_WOODEN_SUSPENDEDSHELF","","","","","","",""
"FURNITURE_NAME_SET_WOODEN_SHELF2","木製 層架 乙","","Estante de madera B","Étagère en bois B","Holzregal B","Mensola di legno B","Estante de madeira B"
"FURNITURE_DESC_SET_WOODEN_SHELF2","","","","","","",""
"FURNITURE_NAME_SET_SEWER_SINK","下水道 洗手台","","Lavabo de alcantarilla","Évier d'égout","Abwasserwaschbecken","Lavandino di fogna","Pia de esgoto"
"FURNITURE_DESC_SET_SEWER_SINK","","","","","","",""
"FURNITURE_NAME_SET_SEWER_SHELF","下水道 層架","","Estante de alcantarilla","Étagère d'égout","Abwasserregal","Scaffale di fogna","Estante de esgoto"
"FURNITURE_DESC_SET_SEWER_SHELF","","","","","","",""
"FURNITURE_NAME_SET_SEWER_TABLE","下水道 桌","","Mesa de alcantarilla","Table d'égout","Abwassertisch","Tavolo di fogna","Mesa de esgoto"
"FURNITURE_DESC_SET_SEWER_TABLE","","","","","","",""
"FURNITURE_NAME_SET_SEWER_DRESSER","下水道 衣櫃","","Aparador de alcantarilla","Commode d'égout","Abwasserkleiderschrank","Comò di fogna","Cômoda de esgoto"
"FURNITURE_DESC_SET_SEWER_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_SEWER_CHAIR","下水道 椅","","Silla de alcantarilla","Chaise d'égout","Abwasserstuhl","Sedia di fogna","Cadeira de esgoto"
"FURNITURE_DESC_SET_SEWER_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_SEWER_SUSPENDEDSHELF","懸掛式 下水道 層架","","Estante de alcantarilla colgado","Étagère suspendue d'égout","Abwasserhängeregal","Mensola sospesa di fogna","Prateleira de esgoto"
"FURNITURE_DESC_SET_SEWER_SUSPENDEDSHELF","","","","","","",""
"FURNITURE_NAME_SET_SEWER_TV","下水道 電視","","Tele de alcantarilla","TV d'égout","Abwasserfernseher","TV di fogna","TV de esgoto"
"FURNITURE_DESC_SET_SEWER_TV","","","","","","",""
"FURNITURE_NAME_SET_SEWER_SMALL_TABLE","下水道 小桌","","Mesita de alcantarilla","Petite table d'égout","Kleiner Abwassertisch","Tavolino di fogna","Mesa pequena de esgoto"
"FURNITURE_DESC_SET_SEWER_SMALL_TABLE","","","","","","",""
"FURNITURE_NAME_SET_SEWER_STOOL","下水道 凳","","Taburete de alcantarilla","Tabouret d'égout","Abwasserhocker","Sgabello di fogna","Banqueta de esgoto"
"FURNITURE_DESC_SET_SEWER_STOOL","","","","","","",""
"FURNITURE_NAME_SET_SEWER_LAMP","下水道 燈","","Lámpara de alcantarilla","Lampe d'égout","Abwasserlampe","Lampada di fogna","Luminária de esgoto"
"FURNITURE_DESC_SET_SEWER_LAMP","","","","","","",""
"FURNITURE_NAME_SET_BONE_SHELF","骨 層架","","Estante de huesos","Étagère en os","Knochenregal","Mensola d'osso","Estante de osso"
"FURNITURE_DESC_SET_BONE_SHELF","","","","","","",""
"FURNITURE_NAME_SET_BONE_SINK","骨 洗手台","","Lavabo de huesos","Évier en os","Knochenwaschbecken","Lavandino d'osso","Pia de osso"
"FURNITURE_DESC_SET_BONE_SINK","","","","","","",""
"FURNITURE_NAME_SET_BONE_SIDETABLE","骨 邊桌","","Mesilla de huesos","Table d'appoint en os","Knochenbeistelltisch","Tavolino d'osso","Mesa lateral de osso"
"FURNITURE_DESC_SET_BONE_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_BONE_TABLE","骨 桌","","Mesa de huesos","Table en os","Knochentisch","Tavolo d'osso","Mesa de osso"
"FURNITURE_DESC_SET_BONE_TABLE","","","","","","",""
"FURNITURE_NAME_SET_BONE_COUCH","骨 沙發","","Sofá de huesos","Canapé en os","Knochensofa","Divano d'osso","Sofá de osso"
"FURNITURE_DESC_SET_BONE_COUCH","","","","","","",""
"FURNITURE_NAME_SET_BONE_TV","骨 電視","","Tele de huesos","TV en os","Knochenfernseher","TV d'osso","TV de osso"
"FURNITURE_DESC_SET_BONE_TV","","","","","","",""
"FURNITURE_NAME_SET_BONE_CHANDELIER","骨 吊燈","","Araña de huesos","Chandelier en os","Knochenkronleuchter","Lampadario d'osso","Lustre de osso"
"FURNITURE_DESC_SET_BONE_CHANDELIER","","","","","","",""
"FURNITURE_NAME_SET_BONE_LAMP","骨 燈","","Lámpara de huesos","Lampe en os","Knochenlampe","Lampada d'osso","Luminária de osso"
"FURNITURE_DESC_SET_BONE_LAMP","","","","","","",""
"FURNITURE_NAME_SET_BONE_CHAIR","骨 椅","","Silla de huesos","Chaise en os","Knochenstuhl","Sedia d'osso","Cadeira de osso"
"FURNITURE_DESC_SET_BONE_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_BONE_PILE","骨 堆","","Pila de huesos","Pile d'os","Knochenhaufen","Pila d'osso","Pilha de ossos"
"FURNITURE_DESC_SET_BONE_PILE","","","","","","",""
"FURNITURE_NAME_SET_ROBO_SHELF","機械 層架","","Estante robótico","Étagère robo","Roboregal","Robo-scaffale","Estante robô"
"FURNITURE_DESC_SET_ROBO_SHELF","","","","","","",""
"FURNITURE_NAME_SET_ROBO_SINK","機械 洗手台","","Lavabo robótico","Évier robo","Robowaschbecken","Robo-lavandino","Pia robô"
"FURNITURE_DESC_SET_ROBO_SINK","","","","","","",""
"FURNITURE_NAME_SET_ROBO_DESK","機械 書桌","","Escritorio robótico","Bureau robo","Roboschreibtisch","Robo-scrivania","Escrivaninha robô"
"FURNITURE_DESC_SET_ROBO_DESK","","","","","","",""
"FURNITURE_NAME_SET_ROBO_TABLE","機械 桌","","Mesa robótica","Table robo","Robotisch","Robo-tavolo","Mesa robô"
"FURNITURE_DESC_SET_ROBO_TABLE","","","","","","",""
"FURNITURE_NAME_SET_ROBO_DRESSER","機械 衣櫃","","Aparador robótico","Commande robo","Robokleiderschrank","Robo-comò","Cômoda robô"
"FURNITURE_DESC_SET_ROBO_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_ROBO_TV","機械 電視","","Tele robótica","TV robo","Robofernseher","Robo-TV","TV robô"
"FURNITURE_DESC_SET_ROBO_TV","","","","","","",""
"FURNITURE_NAME_SET_ROBO_ROBOBODY","機械 身體","","Cuerpo robótico","Corps robo","Robokörper","Robo-corpo","Corpo de robô"
"FURNITURE_DESC_SET_ROBO_ROBOBODY","","","","","","",""
"FURNITURE_NAME_SET_ROBO_ROBOCHEST","機械 胸腔","","Pecho robótico","Coffre robo","Robooberkörper","Robo-torace","Torso de robô"
"FURNITURE_DESC_SET_ROBO_ROBOCHEST","","","","","","",""
"FURNITURE_NAME_SET_ROBO_ROBOARMS","機械 手臂","","Brazos robóticos","Bras robo","Roboarme","Robo-braccia","Braços de robô"
"FURNITURE_DESC_SET_ROBO_ROBOARMS","","","","","","",""
"FURNITURE_NAME_SET_ROBO_HEAD","機械 頭","","Cabeza robótica","Tête robo","Robokopf","Robo-testa","Cabeça de robô"
"FURNITURE_DESC_SET_ROBO_HEAD","","","","","","",""
"FURNITURE_NAME_SET_GUTS_SHELF","內臟 層架","","Estante visceral","Étagère entrailles","Eingeweideregal","Mensola di viscere","Estante de tripas"
"FURNITURE_DESC_SET_GUTS_SHELF","","","","","","",""
"FURNITURE_NAME_SET_GUTS_TABLE","內臟 桌","","Mesa visceral","Table entrailles","Eingeweidetisch","Tavolo di viscere","Mesa de tripas"
"FURNITURE_DESC_SET_GUTS_TABLE","","","","","","",""
"FURNITURE_NAME_SET_GUTS_SIDETABLE","內臟 邊桌 甲","","Mesilla visceral A","Table d'appoint entrailles A","Eingeweidebeistelltisch A","Tavolino di viscere A","Mesa lateral de tripas A"
"FURNITURE_DESC_SET_GUTS_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_GUTS_SINK","內臟 洗手台","","Lavabo visceral","Évier entrailles","Eingeweidewaschbecken","Lavandino di viscere","Pia de tripas"
"FURNITURE_DESC_SET_GUTS_SINK","","","","","","",""
"FURNITURE_NAME_SET_GUTS_SIDETABLE2","內臟 邊桌 乙","","Mesilla visceral B","Table d'appoint entrailles B","Eingeweidebeistelltisch B","Tavolino di viscere B","Mesa lateral de tripas B"
"FURNITURE_DESC_SET_GUTS_SIDETABLE2","","","","","","",""
"FURNITURE_NAME_SET_GUTS_TOILET","內臟 馬桶","","Retrete visceral","Toilettes entrailles","Eingeweidetoilette","WC di viscere","Privada de tripas"
"FURNITURE_DESC_SET_GUTS_TOILET","","","","","","",""
"FURNITURE_NAME_SET_GUTS_LAMP","內臟 燈 甲","","Lámpara visceral A","Lampe entrailles A","Eingeweidelampe A","Lampada di viscere A","Luminária de tripas A"
"FURNITURE_DESC_SET_GUTS_LAMP","","","","","","",""
"FURNITURE_NAME_SET_GUTS_LAMP2","內臟 燈 乙","","Lámpara visceral B","Lampe entrailles B","Eingeweidelampe B","Lampada di viscere B","Luminária de tripas B"
"FURNITURE_DESC_SET_GUTS_LAMP2","","","","","","",""
"FURNITURE_NAME_SET_GUTS_SUSPENDEDSHELF","懸掛式 內臟 層架","","Estante visceral colgado","Étagère suspendue entrailles","Eingeweidehängeregal","Mensola sospesa di viscere","Prateleira de tripas"
"FURNITURE_DESC_SET_GUTS_SUSPENDEDSHELF","","","","","","",""
"FURNITURE_NAME_SET_GUTS_TV","內臟 電視","","Tele visceral","TV entrailles","Eingeweidefernseher","TV di viscere","TV de tripas"
"FURNITURE_DESC_SET_GUTS_TV","","","","","","",""
"FURNITURE_NAME_SET_CRYSTAL_TOILET","水晶 馬桶","","Retrete de cristal","Toilettes cristal","Kristalltoilette","WC di cristallo","Privada de cristal"
"FURNITURE_DESC_SET_CRYSTAL_TOILET","","","","","","",""
"FURNITURE_NAME_SET_CRYSTAL_DRESSER","水晶 衣櫃 甲","","Aparador de cristal A","Commode cristal A","Kristallkleiderschrank A","Comò di cristallo A","Cômoda de cristal A"
"FURNITURE_DESC_SET_CRYSTAL_DRESSER","","","","","","",""
"FURNITURE_NAME_SET_CRYSTAL_LAMP","水晶 燈","","Lámpara de cristal","Lampe cristal","Kristalllampe","Lampada di cristallo","Luminária de cristal"
"FURNITURE_DESC_SET_CRYSTAL_LAMP","","","","","","",""
"FURNITURE_NAME_SET_CRYSTAL_TABLE","水晶 桌","","Mesa de cristal","Table cristal","Kristalltisch","Tavolo di cristallo","Mesa de cristal"
"FURNITURE_DESC_SET_CRYSTAL_TABLE","","","","","","",""
"FURNITURE_NAME_SET_CRYSTAL_CHANDELIER","水晶 吊燈","","Araña de cristal","Chandelier cristal","Kristallkronleuchter","Lampadario di cristallo","Lustre de cristal"
"FURNITURE_DESC_SET_CRYSTAL_CHANDELIER","","","","","","",""
"FURNITURE_NAME_SET_CRYSTAL_DRESSER2","水晶 衣櫃 乙","","Aparador de cristal B","Commode&nbsp;cristal B","Kristallkleiderschrank B","Comò di cristallo B","Cômoda de cristal B"
"FURNITURE_DESC_SET_CRYSTAL_DRESSER2","","","","","","",""
"FURNITURE_NAME_SET_CRYSTAL_SIDETABLE","水晶 邊桌","","Mesilla de cristal","Table d'appoint cristal","Kristallbeistelltisch","Tavolino di cristallo","Mesa lateral de cristal"
"FURNITURE_DESC_SET_CRYSTAL_SIDETABLE","","","","","","",""
"FURNITURE_NAME_SET_CRYSTAL_COUCH","水晶 沙發","","Sofá de cristal","Canapé cristal","Kristallsofa","Divano di cristallo","Sofá de cristal"
"FURNITURE_DESC_SET_CRYSTAL_COUCH","","","","","","",""
"FURNITURE_NAME_SET_CRYSTAL_CHAIR","水晶 椅","","Silla de cristal","Chaise cristal","Kristallstuhl","Sedia di cristallo","Cadeira de cristal"
"FURNITURE_DESC_SET_CRYSTAL_CHAIR","","","","","","",""
"FURNITURE_NAME_SET_CRYSTAL_SHELF","水晶 層架","","Estante de cristal","Étagère cristal","Kristallregal","Mensola di cristallo","Estante de cristal"
"FURNITURE_DESC_SET_CRYSTAL_SHELF","","","","","","",""
"FURNITURE_NAME_SET_BLOCK_L","直角方塊","","Pieza L","Bloc «&nbsp;L&nbsp;»","„L“-Block","Blocco ""L""","Bloco ""L"""
"FURNITURE_DESC_SET_BLOCK_L","","","","","","",""
"FURNITURE_NAME_SET_BLOCK_T","丁字方塊","","Pieza T","Bloc «&nbsp;T&nbsp;»","„T“-Block","Blocco ""T""","Bloco ""T"""
"FURNITURE_DESC_SET_BLOCK_T","","","","","","",""
"FURNITURE_NAME_SET_BLOCK_SQUARE","口字方塊","","Pieza O","Bloc «&nbsp;O&nbsp;»","„O“-Block","Blocco ""O""","Bloco ""O"""
"FURNITURE_DESC_SET_BLOCK_SQUARE","","","","","","",""
"FURNITURE_NAME_SET_BLOCK_7","反轉直角方塊","","Pieza L girada","Bloc «&nbsp;L&nbsp;» renversé","Gespiegelter „L“-Block","Blocco ""L"" capovolto","Bloco ""L"" invertido"
"FURNITURE_DESC_SET_BLOCK_7","","","","","","",""
"FURNITURE_NAME_SET_BLOCK_SQUARE2","口字方塊","","Pieza O","Bloc «&nbsp;O&nbsp;»","„O“-Block","Blocco ""O""","Bloco ""O"""
"FURNITURE_DESC_SET_BLOCK_SQUARE2","","","","","","",""
